dep_id,url,mrds_id,mas_id,site_name,latitude,longitude,region,country,state,county,com_type,commod1,commod2,commod3,oper_type,dep_type,prod_size,dev_stat,ore,gangue,other_matl,orebody_fm,work_type,model,alteration,conc_proc,names,ore_ctrl,reporter,hrock_unit,hrock_type,arock_unit,arock_type,structure,tectonic,ref,yfp_ba,yr_fst_prd,ylp_ba,yr_lst_prd,dy_ba,disc_yr,prod_yrs,discr,score
10231252,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231252",,5330030023,Godumalai,11.68042,78.33037,AS,India,"Andhra Pradesh",,M,,,"Iron, Silica",Surface,,,Prospect,,,,,,,,,,,"West, B.J.",,,,,,,"KRISHNAN, M.S., MINERAL RESOURCES OF MADRAS, MEMOIRS OF THESURVEY OF INDIA,VOL.80,P.147.1951.GIVES RESERVE FIGS.",,,,,,,,,D
10231254,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231254",,5330211016,Korba,22.36612,84.76692,AS,India,"Madhya Pradesh",,M,"Aluminum, Contained or Metal",,,"Processing Plant",,,Plant,,,,,,,,,"Korba Bilaspur",,"Buckingham, David A.",,,,,,,"BOM/BRANCH OF NONFERROUS METALS, ""PRPIMARY ALUMINUM PLANTSWORLDIDE"", PART I - DETAIL, PAGE 143;  PART II - SUMMARYPAGE 15, DEC. 31, 1987.BOM/MINERALS AVAILABILITY PROGRAM, ""PRIMARY POST-MILLALUMINUM SMELTING FACILITIES 1983:  A DATA BANK"",CONTRACT #J0245003, OCTOBER 1, 1985.",,1975,,,,,,,C
10231260,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231260",,5330210117,Kankar,20.69957,80.63033,AS,India,"Madhya Pradesh",,M,,,Iron,Unknown,,,Prospect,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"U.N., SURV. WORLD IRON ORE RES., 1970, N.Y., DEPT. ECON. & SFFAIRS, P. 111,156",,,,,,,,,D
10231287,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231287",,5330291016,Belgaum,15.90002,74.60047,AS,India,Karnataka,,M,"Aluminum, Contained or Metal",,,"Processing Plant",,,Plant,,,,,,,,,,,"Buckingham, David A.",,,,,,,"BOM/MINERALS AVAILABILITY PROGRAM, ""PRIMARY POST-MILLALUMINUM SMELTING FACILITIES 1983:  A DATA BANK""CONTRACT #J0245003, OCTOBER 1, 1985.BOM/BRANCH OF NONFERROUS METALS, ""PRIMARY ALUMINUM PLANTSWORLDWIDE"",  PART I - DETAIL, PAGE 145; PART II - SUMMAR,PAGE 15, DECEMBER 31, 1987.IBA/EB/XLII/5/88, ""PRIMARY ALUMINIUM SMELTER CAPACITY BYPLANT (1988-1993)"", PAGE 30D.BROOK HUNT & ASSOCIATES ATD., ALUMINIUM SMELTER DATA, 1986,PAGE 250.",,1969,,,,,,,D
10231289,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231289",,5330370023,"Karspani Pahar",21.94945,85.20021,AS,India,Orissa,,M,,,Iron,Unknown,,,Prospect,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"UNITED NATIONS, SURVEY OF WORLD IRON ORE RESOURCES, 1970, NEDEPT. OF ECONOMIC AND SOCIAL AFFAIRS, P.114, 150.",,,,,,,,,D
10231314,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231314",,5330410004,"Khetri Copper Belt",27.99899,75.80048,AS,India,Rajasthan,,M,,,Copper,Unknown,,,"Past Producer",,,"Azurite, Chalcanthite, Chalcopyrite, Chlorite, Chrysocolla, Malachite, Pyrite, Pyrrhotite, Quartz, Tourmaline",,,,,,,,"West, B.J.",,,,,,,"DUNN, J.A., BULLETIN OF THE GEOLOGICAL SOCIETY OF INDIASERIES A, ECONOMIC GEOLOGY, NO. 23, 1965, P. 129-130.CHOWDURY, R., GEOLOGICAL POTENTIAL OF THE KHETRI COPPERBELT, RAJASTHAN: GEOLOGICAL SOCIETY OF INDIA MISCELLANEOUSPUBLICATION NO. 13, 1968, P. 165-181.RAO, M.V.N.R.S., KHETRI COPPER COMPLEX: MINING MAGAZINE,VOL. 131, NO. 5, NOVEMBER 1974, P. 350-357.METALS SOURCEBOOK, AUGUST 12, 1974, ITEM (B3801).",,,,,,,,,C
10231327,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231327",,5330070080,Dirisium,22.20943,85.28021,AS,India,Bihar,,B,,,"Iron, Phosphorus-Phosphates, Sulfur, Silica",Surface-Underground,,,Prospect,,,Hematite,,,,,,,,Unknown,,,,,,,"U.N., SURV. WORLD IRON ORE RES., 1970, N.Y., DEPT. ECON. & SFFAIRS, P. 114,148",,,,,,,,,D
10231328,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231328",,5330370096,Daiteri,20.82955,86.33018,AS,India,Orissa,,B,,,"Aluminum, Chromium, Iron, Phosphorus-Phosphates, Silica, Sulfur",Unknown,,,Producer,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"U.N., SURV. WORLD IRON ORE RES., 1970, N.Y., DEPT. ECON. & SFFAIRS, P. 111, 164",,,,,,,,,D
10231338,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231338",,5330370044,"Sidamat Parbat",22.04944,85.3502,AS,India,Orissa,,M,,,Iron,Unknown,,,Prospect,,,Hematite,,,,,,,,"West, B.J.",,,,,,,"UNITED NATIONS, SURVEY OF WORLD IRON ORE RESOURCES, 1970, NEDEPT. OF ECONOMIC AND SOCIAL AFFAIRS, P.114, 151.",,,,,,,,,D
10231357,"https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10231357",,5330430010,Kanakadu,11.9604,78.96035,AS,India,,,M,,,Copper,Unknown,,,Prospect,,,"Chalcopyrite, Pyrite",,,,,,,,"West, B.J.",,,,,,,"DUNN J A 1965 BULL GSI SERIES A-ECON GEOL NO 23-COPPER P 115",,,,,,,,,D
